p,err,compr,discr
8.0000000000000000e+00,2.6539700588985016e-02,5.6550780932108559e-02,8.9337722460428870e-01
1.0000000000000000e+01,7.7341464058238601e-04,8.9706500371297196e-02,9.9125520388285315e-01
1.2000000000000000e+01,1.4445044742987118e-05,1.1592662334442139e-01,1.1207396586736043e+00
1.4000000000000000e+01,4.5441203059368021e-08,1.5502806504567465e-01,1.3248484134674072e+00
1.6000000000000000e+01,1.6117829213267124e-08,2.3418307304382324e-01,1.6352166732152302e+00
1.8000000000000000e+01,1.1713210539405062e-09,2.6421125729878742e-01,2.1339899698893228e+00
2.0000000000000000e+01,7.0539092010157204e-10,3.4978866577148438e-01,2.9299304087956748e+00
2.2000000000000000e+01,7.0602872753349291e-10,4.1391475995381671e-01,5.9844318230946856e+00
2.4000000000000000e+01,7.8162663925491514e-10,5.5805424849192298e-01,6.1805967489878340e+00
2.6000000000000000e+01,7.9509382647821515e-10,6.2438579400380456e-01,8.5343420902887974e+00
2.8000000000000000e+01,1.2444586372308276e-09,7.9443426926930749e-01,8.7590973377227783e+00
3.0000000000000000e+01,6.0981114149763480e-10,9.1408920288085938e-01,1.0989897211392721e+01
