p,err
8.0000000000000000e+00,3.2691006012264978e+00
1.0000000000000000e+01,5.0772471200081430e-02
1.2000000000000000e+01,3.5717272101865368e-03
1.4000000000000000e+01,3.6595815216643315e-04
1.6000000000000000e+01,1.5431763568303204e-04
1.8000000000000000e+01,2.3908397261763360e-05
2.0000000000000000e+01,2.3271832636841708e-06
2.2000000000000000e+01,1.9269939920835720e-07
2.4000000000000000e+01,2.3745147470457871e-08
2.6000000000000000e+01,7.9739319920866466e-09
2.8000000000000000e+01,4.6480668596088653e-09
3.0000000000000000e+01,2.1713182595287416e-09
