k,two,four,six,eight
1.0000000000000000e+00,4.3430828382229024e-02,4.3430829767896036e-02,4.3430829766140398e-02,4.3430829766140745e-02
2.0000000000000000e+00,1.8923764688353298e-03,1.8923820953635308e-03,1.8923820881571597e-03,1.8923820881593175e-03
3.0000000000000000e+00,8.1654937896290499e-05,8.1666039806120098e-05,8.1666024048798177e-05,8.1666024051249206e-05
4.0000000000000000e+00,2.6556296856424097e-05,3.5233450142010630e-06,3.5233139933337132e-06,3.5233139970020816e-06
5.0000000000000000e+00,2.6503090509976887e-05,1.6218952540435632e-07,1.5205057883268171e-07,1.5205058379395020e-07
6.0000000000000000e+00,1.4343680094932286e-05,1.5858778452687789e-07,6.5638749844521576e-09,6.5638824893577629e-09
7.0000000000000000e+00,1.4161450385886537e-05,1.5077925677589267e-07,2.8322204742354318e-10,2.8323066281048909e-10
8.0000000000000000e+00,3.8864927015856797e-06,6.5601046231626577e-09,1.7797389328392187e-11,1.2318527653260705e-11
9.0000000000000000e+00,3.5102002392795675e-06,2.8316502769455256e-10,1.6455510395802740e-11,4.8748588173642716e-13
1.0000000000000000e+01,3.4699104636793246e-06,4.5622496728706835e-11,1.2308086521295637e-11,3.8264971791954635e-14
1.1000000000000000e+01,1.3803502545257175e-06,4.1970828397304042e-11,4.8663849011040911e-13,1.5883379521360045e-16
1.2000000000000000e+01,7.9658586782426767e-07,1.2236468431623591e-11,3.8055331451590934e-14,7.9767425184316397e-17
1.3000000000000000e+01,3.3095842572819454e-07,4.8522359455300010e-13,8.5056559243656544e-17,6.3607337025091559e-17
1.4000000000000000e+01,1.5175398574358941e-07,6.4863667323744644e-14,7.8391231236032235e-17,5.6802945339475597e-17
1.5000000000000000e+01,1.0763565308067321e-07,3.5302141186967770e-14,4.6767924642921603e-17,1.1428044508184457e-17
1.6000000000000000e+01,3.0649378933392933e-08,3.2554719135437105e-14,2.2338540901005539e-17,1.1030243226414134e-17
